Club,Points,League,POT
Real Madrid,86,ESP,1
Manchester City,85,ENG,1
Liverpool,84,ENG,1
Bayern,84,GER,1
Barça,84,ESP,1
Inter,83,ITA,1
PSG,82,FRA,1
BVB,81,GER,1
RB Leipzig,80,GER,1
Arsenal,84,ENG,2
Leverkusen,83,GER,2
Atlético,82,ESP,2
Milan,81,ITA,2
Juventus,80,ITA,2
Atalanta,79,ITA,2
Benfica,78,POR,2
Brugge,74,BEL,2
Shakhtar,73,UKR,2
Sporting CP,79,POR,3
PSV,78,NED,3
Lille,77,FRA,3
Feyenoord,76,NED,3
RB Salzburg,72,AUS,3
Dinamo Zagreb,71,CRO,3
Celtic,75,SCO,3
Young Boys,70,SWI,3
Estrella Roja,69,SER,3
Aston Villa,80,ENG,4
Girona,79,ESP,4
Stuttgart,77,GER,4
Monaco,77,FRA,4
Brest,76,FRA,4
Bologna,76,ITA,4
Sturm Graz,69,AUS,4
Slovan Bratislava,69,SVK,4
Sparta Prague,74,CZE,4
